Terraform Resources,AWS Resource,CRUD Operation,PolicyRule Required
aws,Tags,CREATE,ec2:CreateTags
aws,Tags,DELETE,ec2:DeleteTags
aws_autoscaling_group,AutoScalingGroup,CREATE,autoscaling:AttachLoadbalancers
aws_autoscaling_group,AutoScalingGroup,CREATE,autoscaling:CreateAutoScalingGroup
aws_autoscaling_group,AutoScalingGroup,DELETE,autoscaling:DeleteAutoScalingGroup
aws_autoscaling_group,AutoScalingGroup,DELETE,autoscaling:DetachLoadbalancers
aws_autoscaling_group,AutoScalingGroup,READ,autoscaling:DescribeAutoScalingGroups
aws_autoscaling_group,AutoScalingGroup,READ,autoscaling:DescribeLaunchConfiguration
aws_autoscaling_group,AutoScalingGroup,UPDATE,autoscaling:UpdateAutoScalingGroup
aws_ebs_volume,Volume,CREATE,ec2:CreateVolume
aws_ebs_volume,Volume,DELETE,ec2:DeleteVolume
aws_ebs_volume,Volume,READ,ec2:DescribeVolumes
aws_eip,Address,CREATE,ec2:AllocateAddress
aws_eip,Address,CREATE,ec2:AssociateAddress
aws_eip,Address,DELETE,ec2:DisassociateAddress
aws_eip,Address,DELETE,ec2:ReleaseAddress
aws_eip,Address,READ,ec2:DescribeAddresses
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:AddTags
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:ApplySecurityGroupsToLoadbalancer
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:AttachLoadBalancerToSubnets
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:ConfigureHealthCheck
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:CreateLoadBalancer
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:CreateLoadBalancerListeners
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:RegisterInstancesWithLoadBalancer
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:DeleteLoadBalancer
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:DeleteLoadBalancerListeners
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:DeregisterInstancesFromLoadBalancer
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:RemoveTags
aws_elb,ElasticLoadBalancer,READ,elasticloadbalancing:DescribeInstanceHealth
aws_elb,ElasticLoadBalancer,READ,elasticloadbalancing:DescribeLoadBalancerAttributes
aws_elb,ElasticLoadBalancer,READ,elasticloadbalancing:DescribeLoadBalancers
aws_elb,ElasticLoadBalancer,READ,elasticloadbalancing:DescribeTags
aws_elb,ElasticLoadBalancer,UPDATE,elasticloadbalancing:ModifyLoadBalancerAttributes
aws_iam_instance_profile,IamInstanceProfile,CREATE,iam:AddRoleToInstanceProfile
aws_iam_instance_profile,IamInstanceProfile,CREATE,iam:CreateInstanceProfile
aws_iam_instance_profile,IamInstanceProfile,DELETE,iam:DeleteInstanceProfile
aws_iam_instance_profile,IamInstanceProfile,DELETE,iam:RemoveRoleFromInstanceProfile
aws_iam_instance_profile,IamInstanceProfile,READ,iam:GetInstanceProfile
aws_instance,Instance,CREATE,ec2:MonitorInstances
aws_instance,Instance,CREATE,ec2:RunInstances
aws_instance,Instance,DELETE,ec2:TerminateInstances
aws_instance,Instance,DELETE,ec2:UnmonitorInstances
aws_instance,Instance,READ,ec2:DescribeImages
aws_instance,Instance,READ,ec2:DescribeInstances
aws_instance,Instance,READ,ec2:DescribeVolumes
aws_instance,Instance,UPDATE,ec2:ModifyInstanceAttribute
aws_internet_gateway,InternetGateway,CREATE,ec2:AttachInternetGateway
aws_internet_gateway,InternetGateway,CREATE,ec2:CreateInternetGateway
aws_internet_gateway,InternetGateway,DELETE,ec2:DeleteInternetGateway
aws_internet_gateway,InternetGateway,DELETE,ec2:DetachInternetGateway
aws_internet_gateway,InternetGateway,READ,ec2:DescribeInternetGateways
aws_launch_configuration,LaunchConfiguration,CREATE,autoscaling:CreateLaunchConfiguration
aws_launch_configuration,LaunchConfiguration,DELETE,autoscaling:DeleteLaunchConfiguration
aws_launch_configuration,LaunchConfiguration,READ,autoscaling:DescribeLaunchConfiguration
aws_main_route_table_association,RouteTable,READ,ec2:DescribeRouteTable
aws_main_route_table_association,RouteTable,UPDATE,ec2:ReplaceRouteTableAssociation
aws_network_acl,NetworkAcl,CREATE,ec2:CreateNetworkAcl
aws_network_acl,NetworkAcl,CREATE,ec2:CreateNetworkAclEntry
aws_network_acl,NetworkAcl,DELETE,ec2:DeleteNetworkAcl
aws_network_acl,NetworkAcl,DELETE,ec2:DeleteNetworkAclEntry
aws_network_acl,NetworkAcl,READ,ec2:DescribeNetworkAcls
aws_network_acl,NetworkAcl,UPDATE,ec2:ReplaceNetworkAclAssociation
aws_network_interface,NetworkInterface,CREATE,ec2:AttachNetworkInterface
aws_network_interface,NetworkInterface,CREATE,ec2:CreateNetworkInterface
aws_network_interface,NetworkInterface,DELETE,ec2:DeleteNetworkInterface
aws_network_interface,NetworkInterface,DELETE,ec2:DetachNetworkInterface
aws_network_interface,NetworkInterface,READ,ec2:DescribeNetworkInterfaceAttributes
aws_network_interface,NetworkInterface,READ,ec2:DescribeNetworkInterfaces
aws_network_interface,NetworkInterface,UPDATE,ec2:ModifyNetworkInterfaceAttribute
aws_reoute_53_health_check,Route53HealthCheck,CREATE,route53:CreateHealthCheck
aws_reoute_53_health_check,Route53HealthCheck,DELETE,route53:DeleteHealthCheck
aws_reoute_53_health_check,Route53HealthCheck,READ,route53:GetHealthCheck
aws_reoute_53_health_check,Route53HealthCheck,READ,route53:ListTagsForResource
aws_reoute_53_health_check,Route53HealthCheck,UPDATE,route53:UpdateHealthCheck
aws_route_53_record,Route53Record,READ,route53:GetHostedZone
aws_route_53_record,Route53Record,READ,route53:ListResourceRecordSets
aws_route_53_record,Route53Record,UPDATE,route53:ChangeResourceRecordSets
aws_route_53_record,Route53Record,UPDATE,route53:ChangeTagsForResource
aws_route_table,Route,CREATE,ec2:CreateRoute
aws_route_table,Route,DELETE,ec2:DeleteRoute
aws_route_table,RouteTable,CREATE,ec2:CreateRouteTable
aws_route_table,RouteTable,CREATE,ec2:EnableVGWRoutePropagation
aws_route_table,RouteTable,DELETE,ec2:DeleteRouteTable
aws_route_table,RouteTable,DELETE,ec2:DisableVGWRoutePropagation
aws_route_table,RouteTable,DELETE,ec2:DisassociateRouteTable
aws_route_table,RouteTable,READ,ec2:DescribeRouteTable
aws_route_table_association,RouteTable,CREATE,ec2:AssociateRouteTable
aws_route_table_association,RouteTable,DELETE,ec2:DisassociateRouteTable
aws_route_table_association,RouteTable,UPDATE,ec2:ReplaceRouteTableAssociation
aws_security_group,SecurityGroup,CREATE,ec2:AuthorizeSecurityGroupEgress
aws_security_group,SecurityGroup,CREATE,ec2:AuthorizeSecurityGroupIngress
aws_security_group,SecurityGroup,CREATE,ec2:CreateSecurityGroup
aws_security_group,SecurityGroup,CREATE,ec2:RevokeSecurityGroupEgress
aws_security_group,SecurityGroup,CREATE,ec2:RevokeSecurityGroupIngress
aws_security_group,SecurityGroup,DELETE,ec2:DeleteSecurityGroup
aws_security_group,SecurityGroup,DELETE,ec2:RevokeSecurityGroupEgress
aws_security_group,SecurityGroup,DELETE,ec2:RevokeSecurityGroupIngress
aws_security_group,SecurityGroup,READ,ec2:DescribeSecurityGroups
aws_security_group_rule,SecurityGroupEgress,CREATE,ec2:AuthorizeSecurityGroupEgress
aws_security_group_rule,SecurityGroupEgress,DELETE,ec2:RevokeSecurityGroupEgress
aws_security_group_rule,SecurityGroupEgress,READ,ec2:DescribeSecurityGroups
aws_security_group_rule,SecurityGroupIngress,CREATE,ec2:AuthorizeSecurityGroupIngress
aws_security_group_rule,SecurityGroupIngress,DELETE,ec2:RevokeSecurityGroupIngress
aws_security_group_rule,SecurityGroupIngress,READ,ec2:DescribeSecurityGroups
aws_subnet,Subnet,CREATE,ec2:CreateSubnet
aws_subnet,Subnet,DELETE,ec2:DeleteSubnet
aws_subnet,Subnet,READ,ec2:DescribeSubnets
aws_subnet,Subnet,UPDATE,ec2:ModifySubnetAttributes
aws_volume_attachment,Volume,CREATE,ec2:AttachVolume
aws_volume_attachment,Volume,DELETE,ec2:DetachVolume
aws_volume_attachment,Volume,READ,ec2:DescribeVolumes
aws_vpc,Vpc,CREATE,ec2:CreateVpc
aws_vpc,Vpc,CREATE,ec2:DescribeNetworkACLs
aws_vpc,Vpc,CREATE,ec2:DescribeRouteTables
aws_vpc,Vpc,DELETE,ec2:DeleteVpc
aws_vpc,Vpc,READ,ec2:DescribeSecurityGroups
aws_vpc,Vpc,READ,ec2:DescribeVpc
aws_vpc,Vpc,READ,ec2:DescribeVpcAttribute
aws_vpc,Vpc,UPDATE,ec2:ModifyVpcAttribute
aws_vpc_endpoint,VpcEndpoint,CREATE,ec2:CreateVpc
aws_vpc_endpoint,VpcEndpoint,CREATE,ec2:CreateVpcEndpoint
aws_vpc_endpoint,VpcEndpoint,DELETE,ec2:DeleteVpc
aws_vpc_endpoint,VpcEndpoint,DELETE,ec2:DeleteVpcEndpoints
aws_vpc_endpoint,VpcEndpoint,READ,ec2:DescribeVpcEndpoints
aws_vpc_endpoint,VpcEndpoint,UPDATE,ec2:ModifyVpcEndpoint
aws_vpc_peering_connection,VpcPeeringConnection,CREATE,ec2:AcceptVpcPeeringConnection
aws_vpc_peering_connection,VpcPeeringConnection,CREATE,ec2:CreateVpc
aws_vpc_peering_connection,VpcPeeringConnection,CREATE,ec2:CreateVpcPeeringConnection
aws_vpc_peering_connection,VpcPeeringConnection,DELETE,ec2:DeleteVpc
aws_vpc_peering_connection,VpcPeeringConnection,DELETE,ec2:DeleteVpcPeeringConnection
aws_vpc_peering_connection,VpcPeeringConnection,READ,ec2:DescribeVpcPeeringConnections
